Complexity metrics,terça, 7 nov. 2023 10:24:59 WET
Method,CogC,ev(G),iv(G),v(G)
net.sf.freecol.common.networking.ChangeSet.AttackChange.defenderVisible(Player),2,1,3,3
net.sf.freecol.common.networking.ChangeSet.AttackChange.isNotifiable(Player),3,3,4,7
net.sf.freecol.common.networking.ChangeSet.AttackChange.toMessage(Player),3,2,3,4
net.sf.freecol.common.networking.ChangeSet.AttackChange.toString(),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.AttributeChange.AttributeChange(See, String, String)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.AttributeChange.toMessage(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.AttributeChange.toString(),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.Change.Change(See),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.Change.check(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.Change.consequence(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.Change.isNotifiable(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.Change.matches(FreeColGameObject),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.ChangeSet(),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.ChangeSet(ChangeSet),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.FeatureChange.FeatureChange(See, FreeColGameObject, FreeColObject, boolean)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.FeatureChange.isNotifiable(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.FeatureChange.toMessage(Player),1,1,1,2
net.sf.freecol.common.networking.ChangeSet.FeatureChange.toString(),2,1,1,3
"net.sf.freecol.common.networking.ChangeSet.MessageChange.MessageChange(See, T)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.MessageChange.toMessage(Player),1,1,1,2
net.sf.freecol.common.networking.ChangeSet.MessageChange.toString(),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.MoveChange.MoveChange(See, Unit, Location, Tile)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.MoveChange.consequence(Player),2,1,4,4
net.sf.freecol.common.networking.ChangeSet.MoveChange.isNotifiable(Player),3,4,2,6
net.sf.freecol.common.networking.ChangeSet.MoveChange.seeNew(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.MoveChange.seeOld(Player),3,1,5,5
net.sf.freecol.common.networking.ChangeSet.MoveChange.toMessage(Player),2,2,2,3
net.sf.freecol.common.networking.ChangeSet.MoveChange.toString(),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.ObjectChange.ObjectChange(See, FreeColGameObject)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.ObjectChange.isNotifiable(Player),7,8,4,10
net.sf.freecol.common.networking.ChangeSet.ObjectChange.matches(FreeColGameObject),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.ObjectChange.toMessage(Player),1,1,2,2
net.sf.freecol.common.networking.ChangeSet.ObjectChange.toString(),1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.PartialObjectChange.PartialObjectChange(See, T, Map<String, String>)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.PartialObjectChange.toMessage(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.PartialObjectChange.toString(),1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.PlayerChange.PlayerChange(See, List<? extends Player>)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.PlayerChange.toMessage(Player),1,2,1,2
net.sf.freecol.common.networking.ChangeSet.PlayerChange.toString(),1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.RemoveChange.RemoveChange(See, Location, Stream<? extends FreeColGameObject>)",1,1,1,2
net.sf.freecol.common.networking.ChangeSet.RemoveChange.fullRemoval(Player),1,1,2,2
net.sf.freecol.common.networking.ChangeSet.RemoveChange.getMainObject(),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.RemoveChange.isNotifiable(Player),3,3,5,8
net.sf.freecol.common.networking.ChangeSet.RemoveChange.toMessage(Player),2,1,3,3
net.sf.freecol.common.networking.ChangeSet.RemoveChange.toString(),2,1,3,3
net.sf.freecol.common.networking.ChangeSet.See.See(int),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.See.all(),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.See.always(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.See.check(Player),18,1,1,9
net.sf.freecol.common.networking.ChangeSet.See.except(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.See.only(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.See.perhaps(),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.See.perhapsOnly(Player),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.See.toString(),9,1,4,7
"net.sf.freecol.common.networking.ChangeSet.SpyChange.SpyChange(See, Unit, Settlement)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.SpyChange.toMessage(Player),1,1,1,2
net.sf.freecol.common.networking.ChangeSet.SpyChange.toString(),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.StanceChange.StanceChange(See, Player, Stance, Player)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.StanceChange.toMessage(Player),1,1,1,2
net.sf.freecol.common.networking.ChangeSet.StanceChange.toString(),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.add(See, Collection<? extends FreeColGameObject>)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.add(See, FreeColGameObject...)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.add(See, T)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addAbility(Player, FreeColGameObject, Ability, boolean)",2,1,2,2
"net.sf.freecol.common.networking.ChangeSet.addAttack(See, Unit, Unit, boolean)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addAttribute(See, String, String)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addDisappear(Player, Tile, FreeColGameObject)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addGlobalHistory(Game, HistoryEvent)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.addGlobalMessage(Game, Player, ModelMessage)",3,3,2,3
"net.sf.freecol.common.networking.ChangeSet.addHistory(Player, HistoryEvent)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addMessage(Player, ModelMessage)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addModifier(Player, FreeColGameObject, Modifier, boolean)",2,1,2,2
"net.sf.freecol.common.networking.ChangeSet.addMove(See, Unit, Location, Tile)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.addNewPlayer(Player),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addPartial(See, T, String...)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.addPlayers(List<? extends Player>),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addRemove(See, Location, FreeColGameObject)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addRemoves(See, Location, List<? extends FreeColGameObject>)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.addSale(Player, Settlement, GoodsType, int)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addSpy(Unit, Settlement)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.addStance(See, Player, Stance, Player)",0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.aiChange(Player, boolean)",0,1,1,1
net.sf.freecol.common.networking.ChangeSet.build(Player),18,4,7,11
net.sf.freecol.common.networking.ChangeSet.clear(),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.clientError(Player, String)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.clientError(Player, StringTemplate)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.clientError(See, String)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.clientError(See, StringTemplate)",1,1,2,2
net.sf.freecol.common.networking.ChangeSet.isEmpty(),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.merge(ChangeSet),0,1,1,1
net.sf.freecol.common.networking.ChangeSet.remove(FreeColGameObject),0,1,1,1
"net.sf.freecol.common.networking.ChangeSet.simpleChange(Player, Message)",1,1,2,2
"net.sf.freecol.common.networking.ChangeSet.simpleChange(See, Message)",1,1,2,2
net.sf.freecol.common.networking.ChangeSet.toString(),1,1,2,2
"net.sf.freecol.common.networking.ChangeStateMessage.ChangeStateMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.ChangeStateMessage.ChangeStateMessage(Unit, UnitState)",0,1,1,1
net.sf.freecol.common.networking.ChangeStateMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.ChangeStateMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.ChangeStateMessage.serverHandler(FreeColServer, ServerPlayer)",3,2,4,4
"net.sf.freecol.common.networking.ChangeWorkImprovementTypeMessage.ChangeWorkImprovementTypeMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.ChangeWorkImprovementTypeMessage.ChangeWorkImprovementTypeMessage(Unit, TileImprovementType)",0,1,1,1
net.sf.freecol.common.networking.ChangeWorkImprovementTypeMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.ChangeWorkImprovementTypeMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.ChangeWorkImprovementTypeMessage.serverHandler(FreeColServer, ServerPlayer)",12,9,10,10
"net.sf.freecol.common.networking.ChangeWorkTypeMessage.ChangeWorkTypeMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.ChangeWorkTypeMessage.ChangeWorkTypeMessage(Unit, GoodsType)",0,1,1,1
net.sf.freecol.common.networking.ChangeWorkTypeMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.ChangeWorkTypeMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.ChangeWorkTypeMessage.serverHandler(FreeColServer, ServerPlayer)",3,3,4,4
"net.sf.freecol.common.networking.ChatMessage.ChatMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.ChatMessage.ChatMessage(Player, String, boolean)",0,1,1,1
"net.sf.freecol.common.networking.ChatMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.ChatMessage.clientHandler(FreeColClient),4,2,2,4
net.sf.freecol.common.networking.ChatMessage.getColor(),1,1,1,2
net.sf.freecol.common.networking.ChatMessage.getMessage(),0,1,1,1
net.sf.freecol.common.networking.ChatMessage.getPriority(),0,1,1,1
net.sf.freecol.common.networking.ChatMessage.getSender(),0,1,1,1
net.sf.freecol.common.networking.ChatMessage.isPrivate(),0,1,1,1
"net.sf.freecol.common.networking.ChatMessage.serverHandler(FreeColServer, ServerPlayer)",0,1,1,1
"net.sf.freecol.common.networking.ChooseFoundingFatherMessage.ChooseFoundingFatherMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.ChooseFoundingFatherMessage.ChooseFoundingFatherMessage(List<FoundingFather>, FoundingFather)",1,1,2,2
"net.sf.freecol.common.networking.ChooseFoundingFatherMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.clientHandler(FreeColClient),0,1,1,1
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.getAttributeMap(FreeColXMLReader),2,1,3,3
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.getFather(Game),1,1,2,2
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.getFathers(Game),0,1,1,1
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.ChooseFoundingFatherMessage.serverHandler(FreeColServer, ServerPlayer)",1,2,2,2
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.setFather(FoundingFather),1,1,2,2
net.sf.freecol.common.networking.ChooseFoundingFatherMessage.setFatherAttributes(List<FoundingFather>),0,1,1,1
"net.sf.freecol.common.networking.ClaimLandMessage.ClaimLandMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.ClaimLandMessage.ClaimLandMessage(Tile, FreeColGameObject, int)",0,1,1,1
net.sf.freecol.common.networking.ClaimLandMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.ClaimLandMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.ClaimLandMessage.serverHandler(FreeColServer, ServerPlayer)",43,17,21,24
"net.sf.freecol.common.networking.ClearSpecialityMessage.ClearSpecialityMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.ClearSpecialityMessage.ClearSpecialityMessage(Unit),0,1,1,1
net.sf.freecol.common.networking.ClearSpecialityMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.ClearSpecialityMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.ClearSpecialityMessage.serverHandler(FreeColServer, ServerPlayer)",1,1,2,2
"net.sf.freecol.common.networking.CloseMessage.CloseMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.CloseMessage.CloseMessage(String),0,1,1,1
"net.sf.freecol.common.networking.CloseMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.CloseMessage.clientHandler(FreeColClient),0,1,1,1
net.sf.freecol.common.networking.CloseMessage.getPanel(),0,1,1,1
net.sf.freecol.common.networking.CloseMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.Connection.Connection(Socket, String)",0,1,1,1
net.sf.freecol.common.networking.Connection.Connection(String),0,1,1,1
"net.sf.freecol.common.networking.Connection.Connection(String, int, String)",0,1,1,1
"net.sf.freecol.common.networking.Connection.askMessage(Message, long)",5,5,1,6
net.sf.freecol.common.networking.Connection.close(),1,1,2,2
net.sf.freecol.common.networking.Connection.closeInputStream(),3,1,3,3
net.sf.freecol.common.networking.Connection.closeOutputStream(),1,1,2,2
net.sf.freecol.common.networking.Connection.closeSocket(),3,1,3,3
"net.sf.freecol.common.networking.Connection.createSocket(String, int)",0,1,1,1
net.sf.freecol.common.networking.Connection.disconnect(),0,1,1,1
net.sf.freecol.common.networking.Connection.endListen(),0,1,1,1
net.sf.freecol.common.networking.Connection.getFreeColXMLReader(),0,1,1,1
net.sf.freecol.common.networking.Connection.getHostAddress(),1,1,2,2
net.sf.freecol.common.networking.Connection.getMessageHandler(),0,1,1,1
net.sf.freecol.common.networking.Connection.getName(),0,1,1,1
net.sf.freecol.common.networking.Connection.getPort(),1,1,2,2
net.sf.freecol.common.networking.Connection.getReplyId(),1,1,2,2
net.sf.freecol.common.networking.Connection.getSocket(),0,1,1,1
net.sf.freecol.common.networking.Connection.getSocketName(),1,1,2,2
net.sf.freecol.common.networking.Connection.handle(Message),2,2,2,3
net.sf.freecol.common.networking.Connection.isAlive(),0,1,1,1
"net.sf.freecol.common.networking.Connection.logMessage(Message, boolean)",4,2,1,5
net.sf.freecol.common.networking.Connection.reader(),2,3,2,3
net.sf.freecol.common.networking.Connection.request(Message),3,2,2,4
net.sf.freecol.common.networking.Connection.send(Message),1,1,2,2
net.sf.freecol.common.networking.Connection.sendDisconnect(),1,1,2,2
net.sf.freecol.common.networking.Connection.sendMessage(Message),2,3,1,3
net.sf.freecol.common.networking.Connection.sendReconnect(),1,1,2,2
net.sf.freecol.common.networking.Connection.setCommsLogging(boolean),3,1,3,3
net.sf.freecol.common.networking.Connection.setMessageHandler(MessageHandler),0,1,1,1
net.sf.freecol.common.networking.Connection.setSocket(Socket),0,1,1,1
net.sf.freecol.common.networking.Connection.setWriteScope(WriteScope),1,1,2,2
net.sf.freecol.common.networking.Connection.startListen(),3,2,1,4
net.sf.freecol.common.networking.Connection.startReceiving(),1,1,2,2
net.sf.freecol.common.networking.Connection.toString(),0,1,1,1
"net.sf.freecol.common.networking.ConnectionVerificationMessage.ConnectionVerificationMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.ConnectionVerificationMessage.ConnectionVerificationMessage(boolean),0,1,1,1
net.sf.freecol.common.networking.ConnectionVerificationMessage.isConnectable(),0,1,1,1
net.sf.freecol.common.networking.ContinueMessage.ContinueMessage(),0,1,1,1
"net.sf.freecol.common.networking.ContinueMessage.ContinueMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.ContinueMessage.serverHandler(FreeColServer, ServerPlayer)",0,1,1,1
"net.sf.freecol.common.networking.DeclareIndependenceMessage.DeclareIndependenceMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.DeclareIndependenceMessage.DeclareIndependenceMessage(String, String)",0,1,1,1
net.sf.freecol.common.networking.DeclareIndependenceMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.DeclareIndependenceMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DeclareIndependenceMessage.serverHandler(FreeColServer, ServerPlayer)",5,4,6,6
"net.sf.freecol.common.networking.DeclineMoundsMessage.DeclineMoundsMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.DeclineMoundsMessage.DeclineMoundsMessage(Unit, Direction)",0,1,1,1
net.sf.freecol.common.networking.DeclineMoundsMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.DeclineMoundsMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DeclineMoundsMessage.serverHandler(FreeColServer, ServerPlayer)",4,2,5,5
"net.sf.freecol.common.networking.DeleteTradeRouteMessage.DeleteTradeRouteMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.DeleteTradeRouteMessage.DeleteTradeRouteMessage(TradeRoute),0,1,1,1
"net.sf.freecol.common.networking.DeleteTradeRouteMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.DeleteTradeRouteMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.DeleteTradeRouteMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DeleteTradeRouteMessage.serverHandler(FreeColServer, ServerPlayer)",1,1,2,2
"net.sf.freecol.common.networking.DeliverGiftMessage.DeliverGiftMessage(Game, FreeColXMLReader)",8,1,4,4
"net.sf.freecol.common.networking.DeliverGiftMessage.DeliverGiftMessage(Unit, IndianSettlement, Goods)",0,1,1,1
net.sf.freecol.common.networking.DeliverGiftMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.DeliverGiftMessage.getGoods(),0,1,1,1
net.sf.freecol.common.networking.DeliverGiftMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DeliverGiftMessage.serverHandler(FreeColServer, ServerPlayer)",4,3,5,5
"net.sf.freecol.common.networking.DemandTributeMessage.DemandTributeMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.DemandTributeMessage.DemandTributeMessage(Unit, Direction)",0,1,1,1
net.sf.freecol.common.networking.DemandTributeMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.DemandTributeMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DemandTributeMessage.serverHandler(FreeColServer, ServerPlayer)",8,4,7,8
"net.sf.freecol.common.networking.DiplomacyMessage.DiplomacyMessage(Colony, Unit, DiplomaticTrade)",0,1,1,1
"net.sf.freecol.common.networking.DiplomacyMessage.DiplomacyMessage(FreeColGameObject, FreeColGameObject, DiplomaticTrade)",0,1,1,1
"net.sf.freecol.common.networking.DiplomacyMessage.DiplomacyMessage(Game, FreeColXMLReader)",16,1,6,7
"net.sf.freecol.common.networking.DiplomacyMessage.DiplomacyMessage(Unit, Colony, DiplomaticTrade)",0,1,1,1
"net.sf.freecol.common.networking.DiplomacyMessage.DiplomacyMessage(Unit, Unit, DiplomaticTrade)",0,1,1,1
"net.sf.freecol.common.networking.DiplomacyMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.DiplomacyMessage.clientHandler(FreeColClient),3,3,4,4
net.sf.freecol.common.networking.DiplomacyMessage.getAgreement(),0,1,1,1
net.sf.freecol.common.networking.DiplomacyMessage.getExtraUnit(),0,1,1,1
net.sf.freecol.common.networking.DiplomacyMessage.getOtherFCGO(Game),0,1,1,1
net.sf.freecol.common.networking.DiplomacyMessage.getOurFCGO(Game),0,1,1,1
net.sf.freecol.common.networking.DiplomacyMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DiplomacyMessage.serverHandler(FreeColServer, ServerPlayer)",87,6,44,52
"net.sf.freecol.common.networking.DisbandUnitMessage.DisbandUnitMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.DisbandUnitMessage.DisbandUnitMessage(Unit),0,1,1,1
net.sf.freecol.common.networking.DisbandUnitMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.DisbandUnitMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DisbandUnitMessage.serverHandler(FreeColServer, ServerPlayer)",1,1,2,2
net.sf.freecol.common.networking.DisconnectMessage.DisconnectMessage(),0,1,1,1
"net.sf.freecol.common.networking.DisconnectMessage.DisconnectMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.DisconnectMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.DisconnectMessage.clientHandler(FreeColClient),0,1,1,1
"net.sf.freecol.common.networking.DisconnectMessage.serverHandler(FreeColServer, ServerPlayer)",0,1,1,1
"net.sf.freecol.common.networking.DisembarkMessage.DisembarkMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.DisembarkMessage.DisembarkMessage(Unit),0,1,1,1
net.sf.freecol.common.networking.DisembarkMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.DisembarkMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.DisembarkMessage.serverHandler(FreeColServer, ServerPlayer)",1,1,2,2
"net.sf.freecol.common.networking.EmbarkMessage.EmbarkMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.EmbarkMessage.EmbarkMessage(Unit, Unit, Direction)",1,1,2,2
net.sf.freecol.common.networking.EmbarkMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.EmbarkMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.EmbarkMessage.serverHandler(FreeColServer, ServerPlayer)",12,5,8,8
"net.sf.freecol.common.networking.EmigrateUnitMessage.EmigrateUnitMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.EmigrateUnitMessage.EmigrateUnitMessage(int),0,1,1,1
net.sf.freecol.common.networking.EmigrateUnitMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.EmigrateUnitMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.EmigrateUnitMessage.serverHandler(FreeColServer, ServerPlayer)",13,8,10,10
net.sf.freecol.common.networking.EndTurnMessage.EndTurnMessage(),0,1,1,1
"net.sf.freecol.common.networking.EndTurnMessage.EndTurnMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.EndTurnMessage.currentPlayerMessage(),0,1,1,1
"net.sf.freecol.common.networking.EndTurnMessage.serverHandler(FreeColServer, ServerPlayer)",0,1,1,1
net.sf.freecol.common.networking.EnterRevengeModeMessage.EnterRevengeModeMessage(),0,1,1,1
"net.sf.freecol.common.networking.EnterRevengeModeMessage.EnterRevengeModeMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.EnterRevengeModeMessage.serverHandler(FreeColServer, ServerPlayer)",0,1,1,1
"net.sf.freecol.common.networking.EquipForRoleMessage.EquipForRoleMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.EquipForRoleMessage.EquipForRoleMessage(Unit, Role, int)",0,1,1,1
net.sf.freecol.common.networking.EquipForRoleMessage.currentPlayerMessage(),0,1,1,1
net.sf.freecol.common.networking.EquipForRoleMessage.getPriority(),0,1,1,1
"net.sf.freecol.common.networking.EquipForRoleMessage.serverHandler(FreeColServer, ServerPlayer)",8,6,9,9
net.sf.freecol.common.networking.ErrorMessage.ErrorMessage(Exception),0,1,1,1
"net.sf.freecol.common.networking.ErrorMessage.ErrorMessage(Game, FreeColXMLReader)",8,1,4,4
net.sf.freecol.common.networking.ErrorMessage.ErrorMessage(String),0,1,1,1
"net.sf.freecol.common.networking.ErrorMessage.ErrorMessage(String, Exception)",0,1,1,1
net.sf.freecol.common.networking.ErrorMessage.ErrorMessage(StringTemplate),0,1,1,1
"net.sf.freecol.common.networking.ErrorMessage.ErrorMessage(StringTemplate, String)",0,1,1,1
"net.sf.freecol.common.networking.ErrorMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.ErrorMessage.clientHandler(FreeColClient),2,1,2,2
net.sf.freecol.common.networking.ErrorMessage.getMessage(),0,1,1,1
net.sf.freecol.common.networking.ErrorMessage.getPriority(),0,1,1,1
net.sf.freecol.common.networking.ErrorMessage.getTemplate(),0,1,1,1
"net.sf.freecol.common.networking.FeatureChangeMessage.FeatureChangeMessage(FreeColGameObject, FreeColObject, boolean)",0,1,1,1
"net.sf.freecol.common.networking.FeatureChangeMessage.FeatureChangeMessage(Game, FreeColXMLReader)",8,1,7,7
"net.sf.freecol.common.networking.FeatureChangeMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.FeatureChangeMessage.clientHandler(FreeColClient),2,3,3,3
net.sf.freecol.common.networking.FeatureChangeMessage.getAdd(),0,1,1,1
net.sf.freecol.common.networking.FeatureChangeMessage.getParent(Game),0,1,1,1
net.sf.freecol.common.networking.FeatureChangeMessage.getParentId(),0,1,1,1
net.sf.freecol.common.networking.FeatureChangeMessage.getPriority(),0,1,1,1
net.sf.freecol.common.networking.FeatureChangeMessage.merge(Message),4,3,4,4
"net.sf.freecol.common.networking.FirstContactMessage.FirstContactMessage(Game, FreeColXMLReader)",0,1,1,1
"net.sf.freecol.common.networking.FirstContactMessage.FirstContactMessage(Player, Player, Tile)",2,1,3,3
"net.sf.freecol.common.networking.FirstContactMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.FirstContactMessage.clientHandler(FreeColClient),6,4,8,8
net.sf.freecol.common.networking.FirstContactMessage.getOtherPlayer(Game),0,1,1,1
net.sf.freecol.common.networking.FirstContactMessage.getPlayer(Game),0,1,1,1
net.sf.freecol.common.networking.FirstContactMessage.getPriority(),0,1,1,1
net.sf.freecol.common.networking.FirstContactMessage.getResult(),0,1,1,1
net.sf.freecol.common.networking.FirstContactMessage.getSettlementCount(),0,1,1,1
net.sf.freecol.common.networking.FirstContactMessage.getTile(Game),0,1,1,1
"net.sf.freecol.common.networking.FirstContactMessage.serverHandler(FreeColServer, ServerPlayer)",5,5,5,5
net.sf.freecol.common.networking.FirstContactMessage.setResult(boolean),0,1,1,1
"net.sf.freecol.common.networking.FountainOfYouthMessage.FountainOfYouthMessage(Game, FreeColXMLReader)",0,1,1,1
net.sf.freecol.common.networking.FountainOfYouthMessage.FountainOfYouthMessage(int),0,1,1,1
"net.sf.freecol.common.networking.FountainOfYouthMessage.aiHandler(FreeColServer, AIPlayer)",0,1,1,1
net.sf.freecol.common.networking.FountainOfYouthMessage.clientHandler(FreeColClient),1,2,2,2
net.sf.freecol.common.networking.FountainOfYouthMessage.getMigrants(),0,1,1,1
net.sf.freecol.common.networking.FountainOfYouthMessage.getPriority(),0,1,1,1
