Lines of code metrics,Wed, 8 Nov 2023 04:59:54 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"net.sf.freecol.common.model.SimpleCombatModel.getDefensiveModifiers(FreeColGameObject, FreeColGameObject)",18,7,59,38,7.75%
"net.sf.freecol.common.model.SimpleCombatModel.getOffencePower(FreeColGameObject, FreeColGameObject)",4,7,12,5,1.58%
"net.sf.freecol.common.model.SimpleCombatModel.getOffencePower(FreeColGameObject, FreeColGameObject, LogBuilder)",4,8,39,31,5.12%
"net.sf.freecol.common.model.SimpleCombatModel.getOffensiveModifiers(FreeColGameObject, FreeColGameObject)",16,7,60,42,7.88%
net.sf.freecol.common.model.SimpleCombatModel.hasStrongDefenceModifier(FreeColObject),4,6,11,5,1.45%
"net.sf.freecol.common.model.SimpleCombatModel.isAmbush(FreeColGameObject, FreeColGameObject)",4,7,12,5,1.58%
"net.sf.freecol.common.model.SimpleCombatModel.logModifiers(LogBuilder, Set<Modifier>)",4,6,10,4,1.31%
"net.sf.freecol.common.model.SimpleCombatModel.resolveAttack(Unit, Unit, boolean, double, List<CombatEffectType>)",42,9,170,125,22.34%
net.sf.freecol.common.model.SoLTest.testSoL(),0,0,16,16,88.89%
net.sf.freecol.common.model.Specification.AbilityReader.readChildren(FreeColXMLReader),3,3,12,9,85.71%
net.sf.freecol.common.model.Specification.ChildReader.readChildren(FreeColXMLReader),0,n/a,n/a,1,25.00%
net.sf.freecol.common.model.Specification.ModifierReader.readChildren(FreeColXMLReader),3,3,12,9,66.67%
net.sf.freecol.common.model.Specification.OptionReader.readChild(FreeColXMLReader),0,0,18,18,50.00%
net.sf.freecol.common.model.Specification.OptionReader.readChildren(FreeColXMLReader),3,3,10,7,27.78%
net.sf.freecol.common.model.Specification.Source.Source(String),4,5,8,3,25.81%
net.sf.freecol.common.model.Specification.Source.getXMLTagName(),3,3,5,2,16.13%
net.sf.freecol.common.model.Specification.Source.toString(),3,3,7,4,22.58%
net.sf.freecol.common.model.Specification.Source.toXML(FreeColXMLWriter),3,3,7,4,22.58%
net.sf.freecol.common.model.Specification.Specification(),5,3,42,37,1.44%
net.sf.freecol.common.model.Specification.Specification(FreeColXMLReader),5,7,15,8,0.52%
net.sf.freecol.common.model.Specification.Specification(InputStream),5,7,15,8,0.52%
"net.sf.freecol.common.model.Specification.TypeReader.TypeReader(Class<T>, List<T>)",4,6,10,4,14.71%
net.sf.freecol.common.model.Specification.TypeReader.readChildren(FreeColXMLReader),10,3,48,38,70.59%
net.sf.freecol.common.model.Specification.addAbility(Ability),4,5,10,5,0.34%
net.sf.freecol.common.model.Specification.addAbility(String),6,7,12,5,0.41%
net.sf.freecol.common.model.Specification.addAbstractOption(AbstractOption),5,5,9,3,0.31%
net.sf.freecol.common.model.Specification.addModifier(Modifier),4,5,12,7,0.41%
"net.sf.freecol.common.model.Specification.addOptionGroup(OptionGroup, boolean)",5,6,19,12,0.65%
net.sf.freecol.common.model.Specification.addTestFather(FoundingFather),4,5,9,4,0.31%
"net.sf.freecol.common.model.Specification.addType(String, FreeColSpecObjectType)",4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.applyDifficultyLevel(OptionGroup),7,8,17,9,0.58%
net.sf.freecol.common.model.Specification.applyDifficultyLevel(String),5,6,9,3,0.31%
net.sf.freecol.common.model.Specification.applyFixes(),8,5,20,11,0.69%
"net.sf.freecol.common.model.Specification.checkDifficultyIntegerOption(String, String, LogBuilder, int)",0,0,52,52,1.79%
"net.sf.freecol.common.model.Specification.checkDifficultyOptionGroup(String, LogBuilder, String...)",0,0,41,41,1.41%
"net.sf.freecol.common.model.Specification.checkDifficultyPercentageOption(String, String, LogBuilder, int)",0,0,52,52,1.79%
"net.sf.freecol.common.model.Specification.checkDifficultyUnitListOption(String, String, LogBuilder)",0,0,45,45,1.55%
"net.sf.freecol.common.model.Specification.checkOp(String, String, R, Class<T>)",6,13,33,20,1.13%
net.sf.freecol.common.model.Specification.clean(String),15,10,186,170,6.39%
net.sf.freecol.common.model.Specification.clearEuropeanNationalAdvantages(),3,3,8,5,0.27%
net.sf.freecol.common.model.Specification.compareVersion(String),4,8,26,18,0.89%
net.sf.freecol.common.model.Specification.disableEditing(),3,3,9,6,0.31%
"net.sf.freecol.common.model.Specification.dropOptions(AbstractOption, Collection<AbstractOption>)",4,6,17,11,0.58%
"net.sf.freecol.common.model.Specification.findType(String, Class<T>)",5,8,20,11,0.69%
net.sf.freecol.common.model.Specification.fixDifficultyOptions(),34,9,249,215,8.55%
net.sf.freecol.common.model.Specification.fixGameOptions(),22,9,111,88,3.81%
net.sf.freecol.common.model.Specification.fixMapGeneratorOptions(),12,9,17,4,0.58%
net.sf.freecol.common.model.Specification.fixOrphanOptions(),6,6,25,18,0.86%
net.sf.freecol.common.model.Specification.fixRoles(),8,8,24,16,0.82%
net.sf.freecol.common.model.Specification.fixSpec(),48,5,231,183,7.94%
net.sf.freecol.common.model.Specification.fixUnitChanges(),4,0,24,20,0.82%
net.sf.freecol.common.model.Specification.generateDynamicOptions(),6,6,49,43,1.68%
net.sf.freecol.common.model.Specification.getAbilities(String),4,6,10,4,0.34%
net.sf.freecol.common.model.Specification.getAge(Turn),4,6,13,7,0.45%
net.sf.freecol.common.model.Specification.getBuildableType(String),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getBuildableUnitTypes(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getBuildingType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getBuildingTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getDefaultNationType(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getDefaultRole(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getDefaultUnitType(),5,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getDefaultUnitType(NationType),7,11,25,14,0.86%
net.sf.freecol.common.model.Specification.getDefaultUnitType(Player),4,8,12,4,0.41%
net.sf.freecol.common.model.Specification.getDifficultyLevel(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getDifficultyLevels(),4,5,12,7,0.41%
net.sf.freecol.common.model.Specification.getDifficultyOptionGroup(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getDifficultyOptionGroup(String),4,7,11,4,0.38%
net.sf.freecol.common.model.Specification.getDisaster(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getDisasters(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getEuropeanNationTypes(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getEuropeanNations(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getEvent(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getEvents(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getExpertForProducing(GoodsType),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getFarmedGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getFastestLandUnitType(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getFastestNavalUnitType(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getFoodGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getFoundingFather(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getFoundingFathers(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getGameOptions(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getGoodsType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getHillsTileTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getId(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getImmigrationGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getIndianNationTypes(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getIndianNations(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getInitialPrice(GoodsType),5,7,16,9,0.55%
net.sf.freecol.common.model.Specification.getLibertyGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getMapGeneratorOptions(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getMilitaryRoles(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getMilitaryRolesList(),5,6,15,9,0.52%
net.sf.freecol.common.model.Specification.getMissionaryRole(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getModifiers(String),4,6,10,4,0.34%
net.sf.freecol.common.model.Specification.getMountainsTileTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getNation(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getNationType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getNationTypes(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getNations(),0,0,3,3,0.10%
"net.sf.freecol.common.model.Specification.getNeededTurnsOfTraining(UnitType, UnitType)",5,8,17,9,0.58%
net.sf.freecol.common.model.Specification.getNewWorldGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getNewWorldLuxuryGoodsTypeList(),0,0,3,3,0.10%
"net.sf.freecol.common.model.Specification.getOption(String, Class<T>)",3,3,20,17,0.69%
net.sf.freecol.common.model.Specification.getOptionGroup(String),3,3,12,9,0.41%
net.sf.freecol.common.model.Specification.getPioneerRole(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getPrimaryFoodType(),9,10,13,3,0.45%
net.sf.freecol.common.model.Specification.getREFNationTypes(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getREFNations(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getREFRoles(boolean),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getREFRolesList(boolean),4,6,11,5,0.38%
net.sf.freecol.common.model.Specification.getREFUnitTypes(boolean),4,6,10,4,0.34%
net.sf.freecol.common.model.Specification.getRawBuildingGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getRawMaterialsForStorableBuildingMaterials(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getRawMaterialsForUnstorableBuildingMaterials(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getResourceType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getResourceTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getRole(String),4,6,9,3,0.31%
"net.sf.freecol.common.model.Specification.getRoleWithAbility(String, List<Role>)",4,9,12,3,0.41%
net.sf.freecol.common.model.Specification.getRoles(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getRolesList(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getScoutRole(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getStorableGoodsTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getTileImprovementType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getTileImprovementTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getTileType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getTileTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getType(String),4,6,9,3,0.31%
"net.sf.freecol.common.model.Specification.getType(String, Class<T>)",4,8,13,5,0.45%
"net.sf.freecol.common.model.Specification.getTypesProviding(String, boolean)",4,8,15,7,0.52%
"net.sf.freecol.common.model.Specification.getTypesWithAbility(Class<T>, String...)",4,9,17,8,0.58%
"net.sf.freecol.common.model.Specification.getTypesWithoutAbility(Class<T>, String...)",4,9,17,8,0.58%
"net.sf.freecol.common.model.Specification.getUnitChange(String, UnitType)",7,11,14,3,0.48%
"net.sf.freecol.common.model.Specification.getUnitChange(String, UnitType, UnitType)",7,12,18,6,0.62%
net.sf.freecol.common.model.Specification.getUnitChangeType(String),6,8,12,4,0.41%
net.sf.freecol.common.model.Specification.getUnitChangeTypeList(),4,5,8,3,0.27%
"net.sf.freecol.common.model.Specification.getUnitChanges(String, UnitType)",7,10,15,5,0.52%
net.sf.freecol.common.model.Specification.getUnitType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getUnitTypeList(),0,0,3,3,0.10%
net.sf.freecol.common.model.Specification.getUnitTypesPurchasedInEurope(Player),4,6,11,5,0.38%
net.sf.freecol.common.model.Specification.getUnitTypesTrainedInEurope(Player),4,6,11,5,0.38%
net.sf.freecol.common.model.Specification.getUnitTypesWithAbility(String...),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getUnitTypesWithoutAbility(String...),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.getUnknownEnemyNation(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getVersion(),4,5,8,3,0.27%
net.sf.freecol.common.model.Specification.getXMLTagName(),3,3,4,1,0.14%
net.sf.freecol.common.model.Specification.hasAbility(String),0,0,4,4,0.14%
"net.sf.freecol.common.model.Specification.hasOption(String, Class<T>)",3,3,10,7,0.34%
net.sf.freecol.common.model.Specification.load(InputStream),4,6,14,8,0.48%
net.sf.freecol.common.model.Specification.loadMods(List<FreeColModFile>),5,6,30,23,1.03%
"net.sf.freecol.common.model.Specification.mergeGameOptions(OptionGroup, String)",5,8,18,10,0.62%
net.sf.freecol.common.model.Specification.mergeGroup(OptionGroup),4,7,19,12,0.65%
"net.sf.freecol.common.model.Specification.mergeMapGeneratorOptions(OptionGroup, String)",5,8,19,11,0.65%
"net.sf.freecol.common.model.Specification.newType(String, Class<T>)",5,9,20,11,0.69%
"net.sf.freecol.common.model.Specification.prepare(Advantages, OptionGroup)",4,6,16,10,0.55%
"net.sf.freecol.common.model.Specification.prepare(Advantages, String)",4,6,10,4,0.34%
net.sf.freecol.common.model.Specification.readFromXML(FreeColXMLReader),13,7,58,42,1.99%
net.sf.freecol.common.model.Specification.removeType(String),4,6,9,3,0.31%
net.sf.freecol.common.model.Specification.setDifficultyOptionGroup(OptionGroup),4,5,10,5,0.34%
net.sf.freecol.common.model.Specification.setGameOptions(OptionGroup),0,0,4,4,0.14%
net.sf.freecol.common.model.Specification.setMapGeneratorOptions(OptionGroup),0,0,4,4,0.14%
net.sf.freecol.common.model.Specification.toXML(FreeColXMLWriter),6,7,43,34,1.48%
net.sf.freecol.common.model.Specification.updateGameAndMapOptions(),31,5,35,4,1.20%
"net.sf.freecol.common.model.Specification.writeSection(FreeColXMLWriter, String, Collection<T>)",0,0,6,6,0.21%
net.sf.freecol.common.model.SpecificationTest.testExtends(),1,0,23,22,6.46%
net.sf.freecol.common.model.SpecificationTest.testExtendsDelete(),0,0,19,19,5.34%
net.sf.freecol.common.model.SpecificationTest.testFoundingFathers(),2,0,17,15,4.78%
net.sf.freecol.common.model.SpecificationTest.testGetDefaultUnitType(),0,0,23,23,6.46%
net.sf.freecol.common.model.SpecificationTest.testGoodsTypes(),0,0,10,10,2.81%
net.sf.freecol.common.model.SpecificationTest.testLoad(),4,4,14,10,3.93%
net.sf.freecol.common.model.SpecificationTest.testLoadMods(),0,0,14,14,3.93%
net.sf.freecol.common.model.SpecificationTest.testModifiers(),9,0,17,8,4.78%
net.sf.freecol.common.model.SpecificationTest.testNationTypes(),0,0,7,7,1.97%
net.sf.freecol.common.model.SpecificationTest.testNations(),5,0,13,8,3.65%
net.sf.freecol.common.model.SpecificationTest.testRequiredAbilitiesForRoles(),1,0,120,119,33.71%
net.sf.freecol.common.model.SpecificationTest.testUnitAbilities(),4,3,37,33,10.39%
net.sf.freecol.common.model.Stance.badStance(),1,0,3,2,1.85%
net.sf.freecol.common.model.Stance.badTransition(Stance),0,0,4,4,2.47%
net.sf.freecol.common.model.Stance.getKey(),4,5,8,3,4.94%
net.sf.freecol.common.model.Stance.getNameKey(),3,3,6,3,3.70%
net.sf.freecol.common.model.Stance.getOtherStanceChangeKey(),5,6,9,3,5.56%
net.sf.freecol.common.model.Stance.getStanceChangeKey(),4,5,8,3,4.94%
net.sf.freecol.common.model.Stance.getStanceFromTension(Tension),11,9,34,24,20.99%
net.sf.freecol.common.model.Stance.getTensionModifier(Stance),5,7,57,50,35.19%
net.sf.freecol.common.model.Stance.isIncitable(),4,5,12,7,7.41%
"net.sf.freecol.common.model.StanceTradeItem.StanceTradeItem(Game, FreeColXMLReader)",4,7,10,3,6.45%
"net.sf.freecol.common.model.StanceTradeItem.StanceTradeItem(Game, Player, Player, Stance)",4,8,14,6,9.03%
net.sf.freecol.common.model.StanceTradeItem.copyIn(T),3,3,10,7,6.45%
net.sf.freecol.common.model.StanceTradeItem.equals(Object),3,3,12,9,7.74%
net.sf.freecol.common.model.StanceTradeItem.evaluateFor(Player),3,3,23,20,14.84%
net.sf.freecol.common.model.StanceTradeItem.getLabel(),3,3,7,4,4.52%
net.sf.freecol.common.model.StanceTradeItem.getStance(),3,3,7,4,4.52%
net.sf.freecol.common.model.StanceTradeItem.getXMLTagName(),3,3,4,1,2.58%
net.sf.freecol.common.model.StanceTradeItem.hashCode(),3,3,8,5,5.16%
net.sf.freecol.common.model.StanceTradeItem.isUnique(),3,3,7,4,4.52%
net.sf.freecol.common.model.StanceTradeItem.isValid(),3,3,7,4,4.52%
net.sf.freecol.common.model.StanceTradeItem.readAttributes(FreeColXMLReader),3,3,8,5,5.16%
net.sf.freecol.common.model.StanceTradeItem.setStance(Stance),3,3,7,4,4.52%
net.sf.freecol.common.model.StanceTradeItem.toString(),3,3,10,7,6.45%
net.sf.freecol.common.model.StanceTradeItem.writeAttributes(FreeColXMLWriter),3,3,8,5,5.16%
net.sf.freecol.common.model.StringTemplate.StringTemplate(),3,3,4,1,0.69%
net.sf.freecol.common.model.StringTemplate.StringTemplate(FreeColXMLReader),4,6,9,3,1.56%
"net.sf.freecol.common.model.StringTemplate.StringTemplate(String, String, TemplateType)",4,7,14,7,2.43%
"net.sf.freecol.common.model.StringTemplate.StringTemplate(String, StringTemplate)",4,6,12,6,2.08%
net.sf.freecol.common.model.StringTemplate.add(String),6,9,16,7,2.78%
"net.sf.freecol.common.model.StringTemplate.add(String, String)",6,10,17,7,2.95%
"net.sf.freecol.common.model.StringTemplate.addAmount(String, Number)",4,8,11,3,1.91%
net.sf.freecol.common.model.StringTemplate.addKey(String),4,5,8,3,1.39%
net.sf.freecol.common.model.StringTemplate.addName(String),6,9,16,7,2.78%
"net.sf.freecol.common.model.StringTemplate.addName(String, FreeColObject)",6,10,17,7,2.95%
"net.sf.freecol.common.model.StringTemplate.addName(String, String)",6,10,17,7,2.95%
net.sf.freecol.common.model.StringTemplate.addNamed(Named),4,7,10,3,1.74%
"net.sf.freecol.common.model.StringTemplate.addNamed(String, Named)",4,8,11,3,1.91%
"net.sf.freecol.common.model.StringTemplate.addPair(String, StringTemplate)",4,6,13,7,2.26%
net.sf.freecol.common.model.StringTemplate.addReplacement(StringTemplate),4,5,15,10,2.60%
"net.sf.freecol.common.model.StringTemplate.addStringTemplate(String, StringTemplate)",6,10,18,8,3.12%
net.sf.freecol.common.model.StringTemplate.addStringTemplate(StringTemplate),6,9,16,7,2.78%
"net.sf.freecol.common.model.StringTemplate.addTagged(String, String)",7,11,14,3,2.43%
"net.sf.freecol.common.model.StringTemplate.complete(String, StringTemplate)",5,9,15,6,2.60%
"net.sf.freecol.common.model.StringTemplate.copy(String, StringTemplate)",0,0,3,3,0.52%
net.sf.freecol.common.model.StringTemplate.copyIn(T),3,3,12,9,2.08%
net.sf.freecol.common.model.StringTemplate.entryList(),4,5,8,3,1.39%
net.sf.freecol.common.model.StringTemplate.equals(Object),3,3,28,25,4.86%
net.sf.freecol.common.model.StringTemplate.getDefaultId(),4,5,8,3,1.39%
net.sf.freecol.common.model.StringTemplate.getReplacement(String),4,6,12,6,2.08%
net.sf.freecol.common.model.StringTemplate.getTemplateType(),4,5,8,3,1.39%
net.sf.freecol.common.model.StringTemplate.getXMLTagName(),3,3,4,1,0.69%
net.sf.freecol.common.model.StringTemplate.hashCode(),3,3,16,13,2.78%
net.sf.freecol.common.model.StringTemplate.isEmpty(),4,5,8,3,1.39%
net.sf.freecol.common.model.StringTemplate.key(Named),0,0,3,3,0.52%
net.sf.freecol.common.model.StringTemplate.key(String),0,0,3,3,0.52%
net.sf.freecol.common.model.StringTemplate.label(String),0,0,3,3,0.52%
net.sf.freecol.common.model.StringTemplate.name(String),0,0,3,3,0.52%
net.sf.freecol.common.model.StringTemplate.readAttributes(FreeColXMLReader),3,3,10,7,1.74%
net.sf.freecol.common.model.StringTemplate.readChild(FreeColXMLReader),7,3,35,28,6.08%
net.sf.freecol.common.model.StringTemplate.readChildren(FreeColXMLReader),4,3,9,5,1.56%
net.sf.freecol.common.model.StringTemplate.setDefaultId(String),4,5,8,3,1.39%
"net.sf.freecol.common.model.StringTemplate.setDefaultId(String, Class<T>)",5,9,20,11,3.47%
net.sf.freecol.common.model.StringTemplate.template(Named),0,0,3,3,0.52%
net.sf.freecol.common.model.StringTemplate.template(String),0,0,3,3,0.52%
net.sf.freecol.common.model.StringTemplate.toString(),3,3,41,38,7.12%
net.sf.freecol.common.model.StringTemplate.writeAttributes(FreeColXMLWriter),3,3,11,8,1.91%
net.sf.freecol.common.model.StringTemplate.writeChildren(FreeColXMLWriter),5,3,16,13,2.78%
net.sf.freecol.common.model.Tension.Level.Level(int),0,0,3,3,12.00%
net.sf.freecol.common.model.Tension.Level.getKey(),4,5,8,3,32.00%
net.sf.freecol.common.model.Tension.Level.getLimit(),0,0,3,3,12.00%
net.sf.freecol.common.model.Tension.Tension(),3,3,6,3,3.73%
net.sf.freecol.common.model.Tension.Tension(int),4,5,8,3,4.97%
net.sf.freecol.common.model.Tension.equals(Object),3,3,12,9,7.45%
net.sf.freecol.common.model.Tension.getKey(),4,5,8,3,4.97%
net.sf.freecol.common.model.Tension.getLevel(),4,5,9,4,5.59%
net.sf.freecol.common.model.Tension.getNameKey(),3,3,6,3,3.73%
net.sf.freecol.common.model.Tension.getValue(),4,5,8,3,4.97%
net.sf.freecol.common.model.Tension.hashCode(),3,3,9,6,5.59%
net.sf.freecol.common.model.Tension.modify(int),4,5,8,3,4.97%
net.sf.freecol.common.model.Tension.setValue(int),4,5,14,9,8.70%
net.sf.freecol.common.model.Tension.toString(),3,3,7,4,4.35%
"net.sf.freecol.common.model.Tile.IndianSettlementInternals.setValues(UnitType, List<GoodsType>)",4,6,17,11,48.57%
net.sf.freecol.common.model.Tile.IndianSettlementInternals.update(IndianSettlement),4,5,8,3,22.86%
"net.sf.freecol.common.model.Tile.Tile(Game, String)",6,8,18,10,0.71%
"net.sf.freecol.common.model.Tile.Tile(Game, TileType, int, int)",4,8,23,15,0.91%
net.sf.freecol.common.model.Tile.add(Locatable),6,5,19,14,0.75%
net.sf.freecol.common.model.Tile.addLostCityRumour(LostCityRumour),6,7,10,3,0.39%
net.sf.freecol.common.model.Tile.addResource(Resource),6,7,10,3,0.39%
"net.sf.freecol.common.model.Tile.addRiver(int, String)",8,9,22,11,0.87%
net.sf.freecol.common.model.Tile.addRoad(),6,7,15,8,0.59%
net.sf.freecol.common.model.Tile.addTileItem(TileItem),6,8,16,8,0.63%
net.sf.freecol.common.model.Tile.cacheUnseen(),3,3,6,3,0.24%
net.sf.freecol.common.model.Tile.cacheUnseen(Player),4,7,10,3,0.39%
"net.sf.freecol.common.model.Tile.cacheUnseen(Player, Tile)",6,10,18,8,0.71%
net.sf.freecol.common.model.Tile.cacheUnseen(Tile),6,7,10,3,0.39%
net.sf.freecol.common.model.Tile.canAdd(Locatable),3,3,14,11,0.55%
"net.sf.freecol.common.model.Tile.canProduce(GoodsType, UnitType)",6,9,14,5,0.55%
"net.sf.freecol.common.model.Tile.changeOwnership(Player, Settlement)",9,10,14,4,0.55%
net.sf.freecol.common.model.Tile.changeOwningSettlement(Settlement),7,8,17,9,0.67%
net.sf.freecol.common.model.Tile.changeType(TileType),9,10,18,8,0.71%
"net.sf.freecol.common.model.Tile.checkIntegrity(boolean, LogBuilder)",4,3,27,24,1.06%
net.sf.freecol.common.model.Tile.contains(Locatable),3,3,12,9,0.47%
net.sf.freecol.common.model.Tile.copyIn(T),13,3,40,27,1.58%
net.sf.freecol.common.model.Tile.disposeResources(),3,3,15,12,0.59%
"net.sf.freecol.common.model.Tile.getAbilities(String, FreeColSpecObjectType, Turn)",4,3,10,6,0.39%
net.sf.freecol.common.model.Tile.getAdjacentColonies(),4,5,9,4,0.35%
net.sf.freecol.common.model.Tile.getAvailableAdjacentCount(),5,6,10,4,0.39%
"net.sf.freecol.common.model.Tile.getBaseProduction(ProductionType, GoodsType, UnitType)",4,9,17,8,0.67%
net.sf.freecol.common.model.Tile.getBestDisembarkTile(Player),5,8,12,4,0.47%
net.sf.freecol.common.model.Tile.getBestFoodProduction(),4,5,13,8,0.51%
net.sf.freecol.common.model.Tile.getBuildColonyWarnings(Unit),11,8,90,76,3.54%
net.sf.freecol.common.model.Tile.getCachedTile(Player),4,6,11,5,0.43%
net.sf.freecol.common.model.Tile.getCachedTiles(),4,5,8,3,0.32%
net.sf.freecol.common.model.Tile.getColonyTileLocationLabel(Colony),5,8,26,18,1.02%
net.sf.freecol.common.model.Tile.getCompleteItems(),4,5,9,4,0.35%
net.sf.freecol.common.model.Tile.getCompleteTileImprovements(),4,5,10,5,0.39%
net.sf.freecol.common.model.Tile.getContiguity(),4,5,8,3,0.32%
net.sf.freecol.common.model.Tile.getContiguityAdjacent(int),4,6,11,5,0.43%
net.sf.freecol.common.model.Tile.getDefenceBonusPercentage(),4,5,9,4,0.35%
net.sf.freecol.common.model.Tile.getDefenceValue(),4,5,10,5,0.39%
net.sf.freecol.common.model.Tile.getDefendingUnit(Unit),24,12,58,30,2.28%
net.sf.freecol.common.model.Tile.getDetailedLocationLabel(),4,5,33,28,1.30%
net.sf.freecol.common.model.Tile.getDetailedLocationLabelFor(Player),4,6,33,27,1.30%
net.sf.freecol.common.model.Tile.getDirection(Tile),4,7,10,3,0.39%
net.sf.freecol.common.model.Tile.getDisasterChoices(),7,8,13,5,0.51%
net.sf.freecol.common.model.Tile.getDiscoverableRegion(),4,5,8,3,0.32%
net.sf.freecol.common.model.Tile.getDisplayObject(),3,3,7,4,0.28%
net.sf.freecol.common.model.Tile.getDistanceTo(Tile),5,7,10,3,0.39%
net.sf.freecol.common.model.Tile.getEdgeDistance(),4,5,11,6,0.43%
net.sf.freecol.common.model.Tile.getHighSeasCount(),4,5,8,3,0.32%
net.sf.freecol.common.model.Tile.getLabel(),6,7,19,12,0.75%
net.sf.freecol.common.model.Tile.getLearnableSkill(Player),0,0,4,4,0.16%
net.sf.freecol.common.model.Tile.getLinkTarget(Player),3,3,7,4,0.28%
net.sf.freecol.common.model.Tile.getLocationLabel(),3,3,8,5,0.32%
net.sf.freecol.common.model.Tile.getLocationLabelFor(Player),3,3,8,5,0.32%
net.sf.freecol.common.model.Tile.getLostCityRumour(),4,6,10,4,0.39%
net.sf.freecol.common.model.Tile.getMap(),4,5,8,3,0.32%
"net.sf.freecol.common.model.Tile.getMaximumPotential(GoodsType, UnitType)",14,9,26,10,1.02%
"net.sf.freecol.common.model.Tile.getMaximumPotential(GoodsType, UnitType, TileType)",8,10,33,22,1.30%
net.sf.freecol.common.model.Tile.getMaximumPotentialFoodProductionWithExpert(),4,5,12,7,0.47%
net.sf.freecol.common.model.Tile.getMoveToEurope(),4,5,8,3,0.32%
net.sf.freecol.common.model.Tile.getNameKey(),3,3,18,15,0.71%
"net.sf.freecol.common.model.Tile.getNearLocationLabel(Direction, StringTemplate)",4,9,15,6,0.59%
"net.sf.freecol.common.model.Tile.getNearestSettlement(Player, int, boolean)",4,8,23,15,0.91%
